"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Casseday J.H.; Covey E.","Casseday, J.H. (7003981438); Covey, E. (7003710032)","7003981438; 7003710032","A neuroethological theory of the operation of the inferior colliculus; pp. 323—336","1996","Brain, Behavior and Evolution","47","6","","323","336","13","9","10.1159/000113250","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900817917&doi=10.1159%2f000113250&partnerID=40&md5=79db665be9f8d5bdbbec8a70836e4a28","Article","Final","","Scopus","2-s2.0-84900817917"
"Stracke H.; Okamoto H.; Pantev C.","Stracke, Henning (23467731100); Okamoto, Hidehiko (9740224400); Pantev, Christo (7006686791)","23467731100; 9740224400; 7006686791","Interhemispheric support during demanding auditory signal-in-noise processing","2009","Cerebral Cortex","19","6","","1440","1447","7","16","10.1093/cercor/bhn183","https://www.scopus.com/inward/record.uri?eid=2-s2.0-66549098377&doi=10.1093%2fcercor%2fbhn183&partnerID=40&md5=81a3439fa5a8a4445e6fb7e102f11314","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-66549098377"
"Bogdan V.A.; Balázsi R.; Lupu V.","Bogdan, Vasile Alexander (35204647900); Balázsi, Róbert (26535437500); Lupu, Viorel (24435912800)","35204647900; 26535437500; 24435912800","Treating primary insomnia: A comparative study of self-help methods and progressive muscle relaxation","2009","Journal of Cognitive and Behavioral Psychotherapies","9","1","","67","82","15","11","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-65549167541&partnerID=40&md5=9a6336af2e479d8d78f17cd8e7ef8430","Article","Final","","Scopus","2-s2.0-65549167541"
"Ainslie P.; Boston J.","Ainslie, P.J (6701483936); Boston, J.R (7005474355)","6701483936; 7005474355","Comparison of brain stem auditory evoked potentials for monaural and binaural stimuli; [Comparaison du potentiel évoqué auditif du tronc cérébral obtenu par stimulation monaurale et binaurale]","1980","Electroencephalography and Clinical Neurophysiology","49","3-4","","291","302","11","77","10.1016/0013-4694(80)90223-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018954729&doi=10.1016%2f0013-4694%2880%2990223-0&partnerID=40&md5=48561c2a863e1dab0150984a5f49e997","Article","Final","","Scopus","2-s2.0-0018954729"
"Wade N.J.; Ono H.","Wade, Nicholas J. (7102078776); Ono, Hiroshi (11641067300)","7102078776; 11641067300","From dichoptic to dichotic: Historical contrasts between binocular vision and binaural hearing","2005","Perception","34","6","","645","668","23","10","10.1068/p5327","https://www.scopus.com/inward/record.uri?eid=2-s2.0-22544477865&doi=10.1068%2fp5327&partnerID=40&md5=8175b6f092d9ab8d3fcc6379ef4fb268","Article","Final","","Scopus","2-s2.0-22544477865"
"Hämäläinen J.A.; Leppänen P.H.T.; Guttorm T.K.; Lyytinen H.","Hämäläinen, J.A. (8376244200); Leppänen, P.H.T. (10041161500); Guttorm, T.K. (6506352657); Lyytinen, H. (7003383505)","8376244200; 10041161500; 6506352657; 7003383505","Event-related potentials to pitch and rise time change in children with reading disabilities and typically reading children","2008","Clinical Neurophysiology","119","1","","100","115","15","63","10.1016/j.clinph.2007.09.064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-37649009941&doi=10.1016%2fj.clinph.2007.09.064&partnerID=40&md5=42d36c296d601cf0f7ed105d5ae8927d","Article","Final","","Scopus","2-s2.0-37649009941"
"Lu Z.; Xu Z.; Buchser W.J.","Lu, Z. (7404769187); Xu, Z. (56173431100); Buchser, W.J. (16177129000)","7404769187; 56173431100; 16177129000","Acoustic response properties of lagenar nerve fibers in the sleeper goby, Dormitator latifrons","2003","Journal of Comparative Physiology A: Neuroethology, Sensory, Neural, and Behavioral Physiology","189","12","","889","905","16","45","10.1007/s00359-003-0462-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0347664208&doi=10.1007%2fs00359-003-0462-7&partnerID=40&md5=5c61bcd4b63c1f5fc48100bb5f119a9d","Article","Final","","Scopus","2-s2.0-0347664208"
"Anninos P.A.; Anogianakis G.; Lehnertz K.; Pantev C.; Hoke M.","Anninos, P.A. (7004318788); Anogianakis, G. (55917525000); Lehnertz, K. (7003308707); Pantev, Ch (7006686791); Hoke, M. (7006764888)","7004318788; 55917525000; 7003308707; 7006686791; 7006764888","Biomagnetic measurements using squids","1987","International Journal of Neuroscience","37","3-4","","149","168","19","41","10.3109/00207458708987144","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023489015&doi=10.3109%2f00207458708987144&partnerID=40&md5=91b97854be1cf1546375393e92616493","Article","Final","","Scopus","2-s2.0-0023489015"
"Soeta Y.; Nakagawa S.","Soeta, Yoshiharu (6602742343); Nakagawa, Seiji (7402703070)","6602742343; 7402703070","Effects of the frequency of interaural time difference in the human brain","2006","NeuroReport","17","5","","505","509","4","8","10.1097/01.wnr.0000208998.31072.e4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645119578&doi=10.1097%2f01.wnr.0000208998.31072.e4&partnerID=40&md5=dc8d916a725de92186530fdfb5221c6c","Article","Final","","Scopus","2-s2.0-33645119578"
"Saberi K.","Saberi, Kourosh (7004232931)","7004232931","An Auditory Illusion Predicted from a Weighted Cross-Correlation Model of Binaural Interaction","1996","Psychological Review","103","1","","137","142","5","13","10.1037/0033-295X.103.1.137","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029687967&doi=10.1037%2f0033-295X.103.1.137&partnerID=40&md5=72c9dbddfc31e6b05fc9fc4b36aef1e9","Article","Final","","Scopus","2-s2.0-0029687967"
"Griffin S.J.; Bernstein L.R.; Ingham N.J.; McAlpine D.","Griffin, Sarah J. (8501841800); Bernstein, Leslie R. (57213544432); Ingham, Neil J. (6603459395); McAlpine, David (7005917811)","8501841800; 57213544432; 6603459395; 7005917811","Neural sensitivity to interaural envelope delays in the inferior colliculus of the guinea pig","2005","Journal of Neurophysiology","93","6","","3463","3478","15","57","10.1152/jn.00794.2004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-19344378118&doi=10.1152%2fjn.00794.2004&partnerID=40&md5=072fdb536a60d5daacf2e573846d8c67","Article","Final","","Scopus","2-s2.0-19344378118"
"Coffey C.S.; Ebert Jr. C.S.; Marshall A.F.; Skaggs J.D.; Falk S.E.; Crocker W.D.; Pearson J.M.; Fitzpatrick D.C.","Coffey, Charles S. (9336931900); Ebert Jr., Charles S. (7005493008); Marshall, Allen F. (8108294200); Skaggs, John D. (14825534900); Falk, Stephanie E. (14824816400); Crocker, William D. (14824513900); Pearson, James M. (57199319078); Fitzpatrick, Douglas C. (7102639310)","9336931900; 7005493008; 8108294200; 14825534900; 14824816400; 14824513900; 57199319078; 7102639310","Detection of interaural correlation by neurons in the superior olivary complex, inferior colliculus and auditory cortex of the unanesthetized rabbit","2006","Hearing Research","221","1-2","","1","16","15","33","10.1016/j.heares.2006.06.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749367908&doi=10.1016%2fj.heares.2006.06.005&partnerID=40&md5=969855f0208423016165d059130cf23a","Article","Final","","Scopus","2-s2.0-33749367908"
"Odom J.V.; Chao G.-M.","Odom, J. Vernon (7103115382); Chao, Gung-Meichao (36847287200)","7103115382; 36847287200","Models of binocular luminance interaction evaluated using visually evoked potential and psychophysical measures: A tribute to M. Russell harter","1995","International Journal of Neuroscience","80","1-4","","255","280","25","10","10.3109/00207459508986104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029184265&doi=10.3109%2f00207459508986104&partnerID=40&md5=9d7d7d7cfa9d62cda55cda86da1d0661","Article","Final","","Scopus","2-s2.0-0029184265"
"McKibben J.R.; Bass A.H.","McKibben, Jessica R. (7003837340); Bass, Andrew H. (7101904989)","7003837340; 7101904989","Peripheral encoding of behaviorally relevant acoustic signals in a vocal fish: Harmonic and beat stimuli","2001","Journal of Comparative Physiology - A Sensory, Neural, and Behavioral Physiology","187","4","","271","285","14","32","10.1007/s003590100199","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034947068&doi=10.1007%2fs003590100199&partnerID=40&md5=340de9ace2c54ec2d71441cf82963539","Article","Final","","Scopus","2-s2.0-0034947068"
"McFadden D.","McFadden, Dennis (7102057119)","7102057119","Failure of a missing-fundamental complex to interact with masked and unmasked pure tones at its fundamental frequency","1988","Hearing Research","32","1","","23","39","16","10","10.1016/0378-5955(88)90144-X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023848570&doi=10.1016%2f0378-5955%2888%2990144-X&partnerID=40&md5=1662b9ad707ac76a52c79c8454e69253","Article","Final","","Scopus","2-s2.0-0023848570"
"Jiang D.; McAlpine D.; Palmer A.R.","Jiang, Dan (34769560000); McAlpine, David (7005917811); Palmer, Alan R. (7401780993)","34769560000; 7005917811; 7401780993","Responses of neurons in the inferior colliculus to binaural masking level difference stimuli measured by rate-versus-level functions","1997","Journal of Neurophysiology","77","6","","3085","3106","21","54","10.1152/jn.1997.77.6.3085","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030747327&doi=10.1152%2fjn.1997.77.6.3085&partnerID=40&md5=f7860f5874f56f00bef4ff444080810a","Article","Final","","Scopus","2-s2.0-0030747327"
"Karino S.; Yumoto M.; Itoh K.; Uno A.; Yamakawa K.; Sekimoto S.; Kaga K.","Karino, Shotaro (8837047300); Yumoto, Masato (7006156210); Itoh, Kenji (35355094500); Uno, Akira (7006806956); Yamakawa, Keiko (8502117400); Sekimoto, Sotaro (14038076600); Kaga, Kimitaka (56263588600)","8837047300; 7006156210; 35355094500; 7006806956; 8502117400; 14038076600; 56263588600","Neuromagnetic responses to binaural beat in human cerebral cortex","2006","Journal of Neurophysiology","96","4","","1927","1938","11","70","10.1152/jn.00859.2005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749533070&doi=10.1152%2fjn.00859.2005&partnerID=40&md5=752a16b0590496eb3749ac6c3be3c698","Article","Final","","Scopus","2-s2.0-33749533070"
"Wagner H.; Kautz D.; Poganiatz I.","Wagner, Hermann (7404366995); Kautz, Dirk (6603325600); Poganiatz, Iris (6506873916)","7404366995; 6603325600; 6506873916","Principles of acoustic motion detection in animals and man","1997","Trends in Neurosciences","20","12","","583","588","5","21","10.1016/S0166-2236(97)01110-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030683966&doi=10.1016%2fS0166-2236%2897%2901110-7&partnerID=40&md5=73eb89cf55f6e649fd77fd0cc190333c","Review","Final","","Scopus","2-s2.0-0030683966"
"Ungan P.; Yaǧcioǧlu S.; Özmen B.","Ungan, Pekcan (6701562334); Yaǧcioǧlu, Süha (6506295611); Özmen, Bülent (6701552456)","6701562334; 6506295611; 6701552456","Interaural delay-dependent changes in the binaural difference potential in cat auditory brainstem response: Implications about the origin of the binaural interaction component","1997","Hearing Research","106","1-2","","66","82","16","42","10.1016/S0378-5955(97)00003-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0343036216&doi=10.1016%2fS0378-5955%2897%2900003-8&partnerID=40&md5=6415f7b45f5dc2915223872505aba318","Article","Final","","Scopus","2-s2.0-0343036216"
"Moore D.R.; Semple M.N.; Addison P.D.; Aitkin L.M.","Moore, David R. (35580993300); Semple, Malcolm N. (7006478140); Addison, Paul D. (7006372600); Aitkin, Lindsay M. (7005169640)","35580993300; 7006478140; 7006372600; 7005169640","Properties of spatial receptive fields in the central nucleus of the cat inferior colliculus. I. Responses to tones of low intensity","1984","Hearing Research","13","2","","159","174","15","37","10.1016/0378-5955(84)90106-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021327752&doi=10.1016%2f0378-5955%2884%2990106-0&partnerID=40&md5=c2901f1a900b951bb5d00cb74b45ce08","Article","Final","","Scopus","2-s2.0-0021327752"
"Scott B.H.; Malone B.J.; Semple M.N.","Scott, Brian H. (7403293433); Malone, Brian J. (7006388400); Semple, Malcolm N. (7006478140)","7403293433; 7006388400; 7006478140","Representation of dynamic interaural phase difference in auditory cortex of awake rhesus macaques","2009","Journal of Neurophysiology","101","4","","1781","1799","18","25","10.1152/jn.00678.2007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-65949096298&doi=10.1152%2fjn.00678.2007&partnerID=40&md5=ac1c45c28ad8a9033699b390d83e7239","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-65949096298"
"Grose J.H.; Hall III J.W.; Buss E.","Grose, John H. (7006369286); Hall III, Joseph W. (7407377343); Buss, Emily (7005052011)","7006369286; 7407377343; 7005052011","Across-Channel Spectral Processing","2005","International Review of Neurobiology","70","","","87","119","32","11","10.1016/S0074-7742(05)70003-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645749101&doi=10.1016%2fS0074-7742%2805%2970003-9&partnerID=40&md5=4d3a9748c3aff54198961aec468d10f4","Review","Final","","Scopus","2-s2.0-33645749101"
