"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Joris P.X.; Verschooten E.","Joris, Philip X (6603871964); Verschooten, Eric (36545493100)","6603871964; 36545493100","Midbrain sensitivity to auditory motion studied with dichotic sweeps of broadband noise","2024","Hearing Research","450","","109066","","","","0","10.1016/j.heares.2024.109066","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196044887&doi=10.1016%2fj.heares.2024.109066&partnerID=40&md5=15b3e2490c0e1b9560e18f9b76cb911f","Article","Final","","Scopus","2-s2.0-85196044887"
"Basu S.; Banerjee B.","Basu, Sandhya (57218375415); Banerjee, Bidisha (57195948744)","57218375415; 57195948744","Potential of binaural beats intervention for improving memory and attention: insights from meta-analysis and systematic review","2023","Psychological Research","87","4","","951","963","12","10","10.1007/s00426-022-01706-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134487773&doi=10.1007%2fs00426-022-01706-7&partnerID=40&md5=6e84a879d507fa265a2028e7d1112bc8","Review","Final","","Scopus","2-s2.0-85134487773"
"Almohammadi A.; Wang Y.-K.","Almohammadi, Abdullah (58821165300); Wang, Yu-Kai (41262423500)","58821165300; 41262423500","Revealing brain connectivity: graph embeddings for EEG representation learning and comparative analysis of structural and functional connectivity","2023","Frontiers in Neuroscience","17","","1288433","","","","1","10.3389/fnins.2023.1288433","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182652785&doi=10.3389%2ffnins.2023.1288433&partnerID=40&md5=fd6d7e81431a07680c97e1a60a57eeba","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85182652785"
"Taleei T.; Nazem-Zadeh M.-R.; Amiri M.; Keliris G.A.","Taleei, Tahereh (57907827700); Nazem-Zadeh, Mohammad-Reza (35094377800); Amiri, Mahmood (23479492600); Keliris, Georgios A. (8516188600)","57907827700; 35094377800; 23479492600; 8516188600","EEG-based functional connectivity for tactile roughness discrimination","2023","Cognitive Neurodynamics","17","4","","921","940","19","1","10.1007/s11571-022-09876-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138779057&doi=10.1007%2fs11571-022-09876-1&partnerID=40&md5=546b2df882c9c0b550a1fae6b1c10855","Article","Final","","Scopus","2-s2.0-85138779057"
"Duquette-Laplante F.; Jutras B.; Néron N.; Fortin S.; Koravand A.","Duquette-Laplante, Fauve (57210319761); Jutras, Benoît (6507181286); Néron, Noémie (58963657500); Fortin, Sandra (58964086800); Koravand, Amineh (35111380800)","57210319761; 6507181286; 58963657500; 58964086800; 35111380800","Exploring the Differences Between an Immature and a Mature Human Auditory System Through Auditory Late Responses in Quiet and in Noise","2024","Neuroscience","545","","","171","184","13","0","10.1016/j.neuroscience.2024.03.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189099756&doi=10.1016%2fj.neuroscience.2024.03.018&partnerID=40&md5=485a6e9c3e79dd8e52ecf928192e2d34","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85189099756"
"Kim J.; Kim H.-W.; Kovar J.; Lee Y.S.","Kim, Jeahong (57200410601); Kim, Hyun-Woong (57220077196); Kovar, Jessica (58821382800); Lee, Yune Sang (16506509100)","57200410601; 57220077196; 58821382800; 16506509100","Neural consequences of binaural beat stimulation on auditory sentence comprehension: an EEG study","2024","Cerebral Cortex","34","1","bhad459","","","","1","10.1093/cercor/bhad459","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182730764&doi=10.1093%2fcercor%2fbhad459&partnerID=40&md5=c26091eb467139a901ed99a3e21fc531","Article","Final","","Scopus","2-s2.0-85182730764"
"Wang Y.; Wu D.; Sun K.; Zhu Y.; Chen X.; Xiao W.","Wang, Yifan (57894624500); Wu, Di (57203155809); Sun, Kewei (57219709828); Zhu, Yan (58515438600); Chen, Xianglong (58514086100); Xiao, Wei (7202456444)","57894624500; 57203155809; 57219709828; 58515438600; 58514086100; 7202456444","The Effect of Rhythmic Audio-Visual Stimulation on Inhibitory Control: An ERP Study","2024","Brain Sciences","14","5","506","","","","1","10.3390/brainsci14050506","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194392678&doi=10.3390%2fbrainsci14050506&partnerID=40&md5=dd4ccba3dca875a25884fd448aafe7ab","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85194392678"
"Wang Y.; Zhang J.; Li Y.; Qi S.; Zhang F.; Ball L.J.; Duan H.","Wang, Yifan (57224594297); Zhang, Jiaqi (58636579500); Li, Yadan (55877259600); Qi, Senqing (37078085300); Zhang, Fengqing (57995528300); Ball, Linden J. (7102282029); Duan, Haijun (56693721000)","57224594297; 58636579500; 55877259600; 37078085300; 57995528300; 7102282029; 56693721000","Preventing prefrontal dysfunction by tdcs modulates stress-induced creativity impairment in women: An fnirs study","2023","Cerebral Cortex","33","20","","10528","10545","17","4","10.1093/cercor/bhad301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173586635&doi=10.1093%2fcercor%2fbhad301&partnerID=40&md5=b7f1e28f3271f3d81bed2f5c816e7ebf","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85173586635"
"Watanabe H.; Terada T.","Watanabe, Hiroki (55877159700); Terada, Tsutomu (7202850889)","55877159700; 7202850889","Transparency Mode of Hearable Reduces Your Spatial Hearing: Evaluation and Cancelling Method to Restore Spatial Hearing","2023","IEEE Access","11","","","97952","97960","8","0","10.1109/ACCESS.2023.3312713","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171586861&doi=10.1109%2fACCESS.2023.3312713&partnerID=40&md5=e7d1914f61fd4b057a9a37630da897d9","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85171586861"
"Hake R.; Bürgel M.; Nguyen N.K.; Greasley A.; Müllensiefen D.; Siedenburg K.","Hake, Robin (58475932500); Bürgel, Michel (57409512200); Nguyen, Ninh K. (59052610000); Greasley, Alinka (51161347400); Müllensiefen, Daniel (23019169400); Siedenburg, Kai (55566606400)","58475932500; 57409512200; 59052610000; 51161347400; 23019169400; 55566606400","Development of an adaptive test of musical scene analysis abilities for normal-hearing and hearing-impaired listeners","2024","Behavior Research Methods","56","6","","5456","5481","25","0","10.3758/s13428-023-02279-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176354109&doi=10.3758%2fs13428-023-02279-y&partnerID=40&md5=77cbc3e5f21422ce76793a0e7db5c18e","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85176354109"
"Lal U.; Chikkankod A.V.; Longo L.","Lal, Utkarsh (57696477300); Chikkankod, Arjun Vinayak (58029640900); Longo, Luca (24314788200)","57696477300; 58029640900; 24314788200","Fractal dimensions and machine learning for detection of Parkinson’s disease in resting-state electroencephalography","2024","Neural Computing and Applications","36","15","","8257","8280","23","1","10.1007/s00521-024-09521-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184913140&doi=10.1007%2fs00521-024-09521-4&partnerID=40&md5=f206e212efae15b74a34fe35b25b960a","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85184913140"
"Wycisk Y.; Sander K.; Manca B.; Kopiez R.; Platz F.","Wycisk, Yves (57701117500); Sander, Kilian (57702708700); Manca, Benedetto (57217204410); Kopiez, Reinhard (15923451000); Platz, Friedrich (26423261600)","57701117500; 57702708700; 57217204410; 15923451000; 26423261600","The Headphone and Loudspeaker Test–Part II: A comprehensive method for playback device screening in Internet experiments","2024","Behavior Research Methods","56","1","","362","378","16","1","10.3758/s13428-022-02048-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146381686&doi=10.3758%2fs13428-022-02048-3&partnerID=40&md5=21ff22edfb3708b0892fa2a970a21523","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85146381686"
"Das S.; Puthankattil S.D.","Das, Surya (57215497783); Puthankattil, Subha D. (55436927500)","57215497783; 55436927500","Wireless electroencephalogram monitoring system for deciphering neurological disorders using brain connectivity patterns","2023","Expert Systems","40","4","e13016","","","","0","10.1111/exsy.13016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128361509&doi=10.1111%2fexsy.13016&partnerID=40&md5=e14449732a7dd00f9f1a52ee7bb6abdf","Article","Final","","Scopus","2-s2.0-85128361509"
"Chang H.; Liu B.; Zong Y.; Lu C.; Wang X.","Chang, Hongli (57222146751); Liu, Bo (58480986900); Zong, Yuan (57038101500); Lu, Cheng (57194429246); Wang, Xuenan (57147605900)","57222146751; 58480986900; 57038101500; 57194429246; 57147605900","EEG-Based Parkinson's Disease Recognition via Attention-Based Sparse Graph Convolutional Neural Network","2023","IEEE Journal of Biomedical and Health Informatics","27","11","","5216","5224","8","17","10.1109/JBHI.2023.3292452","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164433984&doi=10.1109%2fJBHI.2023.3292452&partnerID=40&md5=002336f51a8485300cbaa3d90104b642","Article","Final","","Scopus","2-s2.0-85164433984"
"Schneider J.M.; Kim J.; Poudel S.; Lee Y.S.; Maguire M.J.","Schneider, Julie M. (56604541700); Kim, Jeahong (57200410601); Poudel, Sonali (57401882800); Lee, Yune S. (16506509100); Maguire, Mandy J. (7201808919)","56604541700; 57200410601; 57401882800; 16506509100; 7201808919","Socioeconomic status (SES) and cognitive outcomes are predicted by resting-state EEG in school-aged children","2024","Developmental Cognitive Neuroscience","70","","101468","","","","0","10.1016/j.dcn.2024.101468","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208020361&doi=10.1016%2fj.dcn.2024.101468&partnerID=40&md5=9e61c7cc0bd740fc64175f195eabd3ec","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85208020361"
"Black T.; Jenkins B.W.; Laprairie R.B.; Howland J.G.","Black, Tallan (57212758689); Jenkins, Bryan W. (57210825535); Laprairie, Robert B. (55316980400); Howland, John G. (26643319400)","57212758689; 57210825535; 55316980400; 26643319400","Therapeutic potential of gamma entrainment using sensory stimulation for cognitive symptoms associated with schizophrenia","2024","Neuroscience and Biobehavioral Reviews","161","","105681","","","","0","10.1016/j.neubiorev.2024.105681","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190804347&doi=10.1016%2fj.neubiorev.2024.105681&partnerID=40&md5=e7188b3f49b97d79307527093a7abcf9","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85190804347"
"Greatrex D.; Hawkins S.","Greatrex, David (59250864400); Hawkins, Sarah (7203056482)","59250864400; 7203056482","Rhythmic variance influences the speed but not the accuracy of complex averaging decisions","2024","Attention, Perception, and Psychophysics","86","6","","2104","2123","19","0","10.3758/s13414-024-02930-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200699119&doi=10.3758%2fs13414-024-02930-6&partnerID=40&md5=fbd0a1964945a450b394d066ca60e1d9","Article","Final","","Scopus","2-s2.0-85200699119"
"Rizzi R.; Bidelman G.M.","Rizzi, Rose (57811110600); Bidelman, Gavin M. (26325449700)","57811110600; 26325449700","Duplex perception reveals brainstem auditory representations are modulated by listeners’ ongoing percept for speech","2023","Cerebral Cortex","33","18","","10076","10086","10","1","10.1093/cercor/bhad266","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171393641&doi=10.1093%2fcercor%2fbhad266&partnerID=40&md5=e85c5718d6dad8eb5618f687e2a2bfe3","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85171393641"
"Pang C.H.; Lam Y.H.B.; Chia J.L.C.; Ng S.I.F.; Wong S.S.; Tay P.K.C.","Pang, Chu Hui (58486043500); Lam, Yeow Hing Bradley (58485626200); Chia, Jia Lin Cherie (58916833600); Ng, Soo Inn Fidessa (58485626300); Wong, Samuel Shengmiao (58485222200); Tay, Peter Kay Chai (57519863600)","58486043500; 58485626200; 58916833600; 58485626300; 58485222200; 57519863600","The effectiveness of Chinese instrumental music embedded with binaural beats in relieving anxiety related to academic stress among undergraduates: A randomized controlled trial","2024","Psychology of Music","","","","","","","0","10.1177/03057356241231769","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186615273&doi=10.1177%2f03057356241231769&partnerID=40&md5=28bcec0d5e97174fbd823896709785a7","Article","Article in press","","Scopus","2-s2.0-85186615273"
"Monk T.; Dennler N.; Ralph N.; Rastogi S.; Afshar S.; Urbizagastegui P.; Jarvis R.; van Schaik A.; Adamatzky A.","Monk, Travis (34880475700); Dennler, Nik (57205319172); Ralph, Nicholas (57211342769); Rastogi, Shavika (57223081942); Afshar, Saeed (35324039800); Urbizagastegui, Pablo (59338913600); Jarvis, Russell (58151336200); van Schaik, André (57210334967); Adamatzky, Andrew (55152430900)","34880475700; 57205319172; 57211342769; 57223081942; 35324039800; 59338913600; 58151336200; 57210334967; 55152430900","Electrical Signaling Beyond Neurons","2024","Neural Computation","36","10","","1939","2029","90","0","10.1162/neco_a_01696","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205740562&doi=10.1162%2fneco_a_01696&partnerID=40&md5=3f9ebfa912f8eaf75b20c5e8cfb68444","Review","Final","","Scopus","2-s2.0-85205740562"
"Sun M.; Xing W.; Yu W.; Slevc L.R.; Li W.","Sun, Mingjiang (59195357700); Xing, Weijing (59194051400); Yu, Wenjing (58891561400); Slevc, L. Robert (8594175000); Li, Weijun (55587501700)","59195357700; 59194051400; 58891561400; 8594175000; 55587501700","ERP evidence for cross-domain prosodic priming from music to speech","2024","Brain and Language","254","","105439","","","","0","10.1016/j.bandl.2024.105439","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197089995&doi=10.1016%2fj.bandl.2024.105439&partnerID=40&md5=55792b2fd2dcb9d1f31996e60daa383f","Article","Final","","Scopus","2-s2.0-85197089995"
"Castiblanco Jimenez I.A.; Olivetti E.C.; Vezzetti E.; Moos S.; Celeghin A.; Marcolin F.","Castiblanco Jimenez, Ivonne Angelica (57221335169); Olivetti, Elena Carlotta (57211883756); Vezzetti, Enrico (23020576900); Moos, Sandro (25723603200); Celeghin, Alessia (56312119300); Marcolin, Federica (54928181200)","57221335169; 57211883756; 23020576900; 25723603200; 56312119300; 54928181200","Effective affective EEG-based indicators in emotion-evoking VR environments: an evidence from machine learning","2024","Neural Computing and Applications","","","","","","","1","10.1007/s00521-024-10240-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204286394&doi=10.1007%2fs00521-024-10240-z&partnerID=40&md5=74f9f65e804f6f39a74ac81ac66538a1","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85204286394"
"Zielinski-Nicolson K.L.; Roberts N.; Boag S.","Zielinski-Nicolson, Kayley L. (58130902100); Roberts, Natalie (57970133800); Boag, Simon (13905324700)","58130902100; 57970133800; 13905324700","Does ASMR propensity reflect a mentally flexible mindset? Exploring the relationship between ASMR propensity, transliminality, emotional contagion, schizotypal traits, roleplaying ability, and creativity","2023","Consciousness and Cognition","113","","103546","","","","3","10.1016/j.concog.2023.103546","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163023438&doi=10.1016%2fj.concog.2023.103546&partnerID=40&md5=78389c6b675377c74d2052f1f325e36e","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85163023438"
"Liu Y.; Liu S.; Tang C.; Tang K.; Liu D.; Chen M.; Mao Z.; Xia X.","Liu, Yang (59107925900); Liu, Shuzhen (58082356300); Tang, Can (57571569900); Tang, Keke (57918132900); Liu, Di (57918923900); Chen, Meilian (57919118400); Mao, Zhiqi (55286317800); Xia, Xuewei (56768666200)","59107925900; 58082356300; 57571569900; 57918132900; 57918923900; 57919118400; 55286317800; 56768666200","Transcranial alternating current stimulation combined with sound stimulation improves cognitive function in patients with Alzheimer’s disease: Study protocol for a randomized controlled trial","2023","Frontiers in Aging Neuroscience","14","","1068175","","","","10","10.3389/fnagi.2022.1068175","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146983811&doi=10.3389%2ffnagi.2022.1068175&partnerID=40&md5=dd681410f9f0ecacde22f189fd5cfa64","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85146983811"
"Yin Q.; Johnson E.L.; Ofen N.","Yin, Qin (57205190719); Johnson, Elizabeth L. (55469677200); Ofen, Noa (16042895400)","57205190719; 55469677200; 16042895400","Neurophysiological mechanisms of cognition in the developing brain: Insights from intracranial EEG studies","2023","Developmental Cognitive Neuroscience","64","","101312","","","","0","10.1016/j.dcn.2023.101312","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173916978&doi=10.1016%2fj.dcn.2023.101312&partnerID=40&md5=14e36c58533f57444c0c979719bac304","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85173916978"
"Zhou W.; Wu X.","Zhou, Weichen (57220104991); Wu, Xia (57234424200)","57220104991; 57234424200","The impact of internal-generated contextual clues on EFL vocabulary learning: insights from EEG","2024","Frontiers in Psychology","15","","1332098","","","","0","10.3389/fpsyg.2024.1332098","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185111539&doi=10.3389%2ffpsyg.2024.1332098&partnerID=40&md5=d19931a8137dcc384571a95bd5543ed7","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85185111539"
"Todd N.P.M.; Keller P.E.; Govender S.; Colebatch J.G.","Todd, Neil P.M. (59157743800); Keller, Peter E. (58008087300); Govender, Sendhil (26534094400); Colebatch, James G. (7004946765)","59157743800; 58008087300; 26534094400; 7004946765","Electrophysiological Activity Associated with a Cross-Modal Anapaest Rhythm: Evidence for the Vestibular Syncopation Hypothesis","2024","Timing and Time Perception","","","","","","","1","10.1163/22134468-bja10108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193067390&doi=10.1163%2f22134468-bja10108&partnerID=40&md5=7a2594e242ceea627de0f0637b8d3f34","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85193067390"
"Chee Z.J.; Chang C.Y.M.; Cheong J.Y.; Malek F.H.B.A.; Hussain S.; de Vries M.; Bellato A.","Chee, Zhong Jian (57244133700); Chang, Chern Yi Marybeth (57218225976); Cheong, Jean Yi (58942256500); Malek, Fatin Hannah Binte Abdul (58942296000); Hussain, Shahad (58942488600); de Vries, Marieke (55133632400); Bellato, Alessio (57211907947)","57244133700; 57218225976; 58942256500; 58942296000; 58942488600; 55133632400; 57211907947","The effects of music and auditory stimulation on autonomic arousal, cognition and attention: A systematic review","2024","International Journal of Psychophysiology","199","","112328","","","","2","10.1016/j.ijpsycho.2024.112328","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187960863&doi=10.1016%2fj.ijpsycho.2024.112328&partnerID=40&md5=0caa1c0f50133a6e33a627f3c2f03a23","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85187960863"
"Chernetchenko D.; Prasolov P.; Aganov S.; Voropai A.; Polishchuk Y.; Lituiev D.; Nayshtetik E.","Chernetchenko, Dmytro (57214346507); Prasolov, Pramax (57728600900); Aganov, Sam (57497345100); Voropai, Andrii (57612059000); Polishchuk, Yuliia (58117765500); Lituiev, Dmytro (35743687000); Nayshtetik, Eugene (57495463400)","57214346507; 57728600900; 57497345100; 57612059000; 58117765500; 35743687000; 57495463400","Effects of Binaural Beat Stimulation in Adults with Stuttering","2023","Brain Sciences","13","2","309","","","","1","10.3390/brainsci13020309","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148884557&doi=10.3390%2fbrainsci13020309&partnerID=40&md5=7c24aa5b1c35cadf24b2c1d9a675745a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85148884557"
"Wang S.; Liu C.; Zhang L.; Sun C.-K.; Yang S.-Y.","Wang, Songyan (58187744100); Liu, Cheng (57222605978); Zhang, Lin (59234672600); Sun, Cheuk-Kwan (57202568962); Yang, Shang-Yu (57199267751)","58187744100; 57222605978; 59234672600; 57202568962; 57199267751","Effects of Fast-Tempo and Binaural Beat Therapy Music during Warm-Up on Repeated Sprint Ability Test Performance among Young Soccer Players","2024","Brain Sciences","14","7","673","","","","0","10.3390/brainsci14070673","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199628532&doi=10.3390%2fbrainsci14070673&partnerID=40&md5=c60250473d53ab6df5cbf8d213c3a010","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85199628532"
"Lenc T.; Peter V.; Hooper C.; Keller P.E.; Burnham D.; Nozaradan S.","Lenc, Tomas (57200447688); Peter, Varghese (36188703400); Hooper, Caitlin (58018268500); Keller, Peter E. (58008087300); Burnham, Denis (7005177876); Nozaradan, Sylvie (16239070300)","57200447688; 36188703400; 58018268500; 58008087300; 7005177876; 16239070300","Infants show enhanced neural responses to musical meter frequencies beyond low-level features","2023","Developmental Science","26","5","e13353","","","","9","10.1111/desc.13353","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144055019&doi=10.1111%2fdesc.13353&partnerID=40&md5=d97f8ed93196389f7da0acf98fb6ba00","Article","Final","","Scopus","2-s2.0-85144055019"
"Li R.; Meng J.; You J.; Zhou X.; Xu M.; Ming D.","Li, Rong (57219008461); Meng, Jiayuan (56808642200); You, Jia (57224675493); Zhou, Xiaoyu (57213589803); Xu, Minpeng (37076397600); Ming, Dong (58026507100)","57219008461; 56808642200; 57224675493; 57213589803; 37076397600; 58026507100","Long-range and cross-frequency neural modulation of gamma flicker on vigilance decrement","2024","Cognitive Neurodynamics","18","2","","417","429","12","0","10.1007/s11571-023-10008-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173938090&doi=10.1007%2fs11571-023-10008-6&partnerID=40&md5=9f4872bc12d9cc4b2fd57ddef995f3a2","Article","Final","","Scopus","2-s2.0-85173938090"
"Tan P.; Ren X.","Tan, Peng (57207810096); Ren, Xiangshi (7401875870)","57207810096; 7401875870","The Effects of Rhythmic Footstep and Sound Interactions on Creativity: A Design and Evaluation Study","2024","International Journal of Human-Computer Interaction","","","","","","","0","10.1080/10447318.2024.2378253","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200040767&doi=10.1080%2f10447318.2024.2378253&partnerID=40&md5=78b7fec835d0468a4c08a2c41ebf9750","Article","Article in press","","Scopus","2-s2.0-85200040767"
"Kim Y.-J.; Kim K.-B.; Kim J.-S.; Kim H.-S.; Choi M.-H.; Yi J.-H.; Chung S.-C.","Kim, Ye-Jin (57214440556); Kim, Kyu-Beom (57224413677); Kim, Ji-Su (57971773800); Kim, Hyung-Sik (57203423417); Choi, Mi-Hyun (57693274300); Yi, Jeong-Han (7402736699); Chung, Soon-Cheol (55976631100)","57214440556; 57224413677; 57971773800; 57203423417; 57693274300; 7402736699; 55976631100","Effects of inaudible binaural beats on visuospatial memory","2023","NeuroReport","34","10","","501","505","4","1","10.1097/WNR.0000000000001916","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161635411&doi=10.1097%2fWNR.0000000000001916&partnerID=40&md5=aa28a8a8d5adc9d90996908b06aee89f","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85161635411"
"Welhaf M.S.; Kane M.J.","Welhaf, Matthew S. (55945301000); Kane, Michael J. (7202167989)","55945301000; 7202167989","A combined experimental–correlational approach to the construct validity of performance-based and self-report-based measures of sustained attention","2024","Attention, Perception, and Psychophysics","86","1","","109","145","36","1","10.3758/s13414-023-02786-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178120320&doi=10.3758%2fs13414-023-02786-2&partnerID=40&md5=02d4d78fbf0e753f2dee26a3d24d51cf","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85178120320"
"Chang M.; Tanaka K.; Naruse Y.; Imamura Y.; Fujii S.","Chang, Ming (56150607900); Tanaka, Kenta (58616853800); Naruse, Yasushi (14123705900); Imamura, Yasuhiko (58165536900); Fujii, Shinya (57189705002)","56150607900; 58616853800; 14123705900; 58165536900; 57189705002","Influence of monaural auditory stimulation combined with music on brain activity","2023","Frontiers in Human Neuroscience","17","","1311602","","","","0","10.3389/fnhum.2023.1311602","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183053908&doi=10.3389%2ffnhum.2023.1311602&partnerID=40&md5=57ce5d4e7f72d62696ae516b9594781a","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85183053908"
"Fougère M.; Greco-Vuilloud J.; Arnous C.; Abel F.; Lowe C.; Elie V.; Marchand S.","Fougère, Maxime (57899189100); Greco-Vuilloud, Juliette (57565436500); Arnous, Chloé (58611988100); Abel, Florence (57362597200); Lowe, Chrissy (58611832400); Elie, Valery (35268575600); Marchand, Serge (7004320633)","57899189100; 57565436500; 58611988100; 57362597200; 58611832400; 35268575600; 7004320633","Sensory stimulations potentializing digital therapeutics pain control","2023","Frontiers in Pain Research","4","","1168377","","","","2","10.3389/fpain.2023.1168377","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171862371&doi=10.3389%2ffpain.2023.1168377&partnerID=40&md5=0906ac21359d7bc6a3dbd38025e2089a","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85171862371"
"Mockevičius A.; Voicikas A.; Jurkuvėnas V.; Tarailis P.; Griškova-Bulanova I.","Mockevičius, Aurimas (57783359700); Voicikas, Aleksandras (57189071704); Jurkuvėnas, Vytautas (6508318809); Tarailis, Povilas (57211201670); Griškova-Bulanova, Inga (8386942500)","57783359700; 57189071704; 6508318809; 57211201670; 8386942500","Individualized EEG-Based Neurofeedback Targeting Auditory Steady-State Responses: A Proof-of-Concept Study","2024","Applied Psychophysiology Biofeedback","","","","","","","0","10.1007/s10484-024-09662-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202464342&doi=10.1007%2fs10484-024-09662-1&partnerID=40&md5=b9025d101fb9e1c36349add012388f34","Article","Article in press","","Scopus","2-s2.0-85202464342"
"Bavafa A.; Foroughi A.; Jaberghaderi N.; Khazaei H.","Bavafa, Amir (57216579262); Foroughi, Aliakbar (57209221925); Jaberghaderi, Nasrin (6504169588); Khazaei, Habibollah (24279942000)","57216579262; 57209221925; 6504169588; 24279942000","The Efficacy of Theta Binaural Beat on the Absolute Power of Theta Activity in Individuals With Primary Insomnia","2023","Basic and Clinical Neuroscience","14","3","","331","340","9","0","10.32598/bcn.2021.2162.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167717779&doi=10.32598%2fbcn.2021.2162.1&partnerID=40&md5=d9e1b3d90da5765cc35be5996d6f0809","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85167717779"
"Calvano A.; Timmermann L.; Loehrer P.A.; Oehrn C.R.; Weber I.","Calvano, Alexander (57218408504); Timmermann, Lars (6603563144); Loehrer, Philipp Alexander (57191254440); Oehrn, Carina Renate (24921847600); Weber, Immo (23571254900)","57218408504; 6603563144; 57191254440; 24921847600; 23571254900","Binaural acoustic stimulation in patients with Parkinson’s disease","2023","Frontiers in Neurology","14","","1167006","","","","3","10.3389/fneur.2023.1167006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159926886&doi=10.3389%2ffneur.2023.1167006&partnerID=40&md5=c4220c805977ec68aa8dbd82e8e40017","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85159926886"
"Hu H.; Ewert S.D.; Kollmeier B.; Vickers D.","Hu, Hongmei (55498402700); Ewert, Stephan D. (7004363887); Kollmeier, Birger (7006746726); Vickers, Deborah (7006164240)","55498402700; 7004363887; 7006746726; 7006164240","Rate dependent neural responses of interaural-time-difference cues in fine-structure and envelope","2024","PeerJ","12","4","e17104","","","","0","10.7717/peerj.17104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191559985&doi=10.7717%2fpeerj.17104&partnerID=40&md5=4603ed4b6af6b6d306e42d4baf2a1723","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85191559985"
