Relevant Inclusion,Exclusion,Relevance,Read Level,DOI
,,,,10.3390/brainsci13020309
,,,,10.3390/brainsci12030339
,,,,10.3389/fpsyg.2021.764068
,,,,10.1523/ENEURO.0232-19.2020
,,,,10.1016/j.neuroscience.2024.07.014
,,,,10.3389/fneur.2023.1167006
,,,,10.1016/j.heares.2015.09.011
,,,,10.1142/S0129065723500272
,,,,10.3389/fnhum.2017.00557
,,,,10.1016/j.ijpsycho.2012.10.008
,,,,10.1088/1741-2552/aa5d67
,,,,10.1121/1.381430
,,,,10.1371/journal.pone.0166630
,,,,10.1007/s10548-023-00990-9
,,,,10.1142/S0129065717500551
,,,,10.1016/s0031-9384(97)00436-8
,,,,10.1097/JCP.0000000000001097
,,,,10.3389/fnhum.2018.00500
,,,,10.1016/j.brainres.2020.146849
,,,,10.1111/ejn.12760
,,,,10.3233/THC-236001
,,,,10.1371/journal.pone.0034789
,,,,10.3389/fnhum.2017.00251
,,,,10.1097/WNR.0000000000002101
,,,,10.1007/s00221-017-4957-9
,,,,10.1097/AUD.0b013e318230bbbd
,,,,10.1038/s41598-024-68628-9
,,,,10.1038/s41597-022-01622-w
,,,,10.1007/s00221-019-05562-7
,,,,10.1016/j.clinph.2009.06.014
,,,,10.1016/j.ctim.2019.05.005
,,,,10.1016/j.clinph.2004.09.014
,,,,10.1080/15390940802234263
,,,,10.1152/jn.00224.2014
,,,,10.1371/journal.pone.0306427
,,,,10.1007/s00426-015-0727-0
,,,,10.1016/j.ijpsycho.2014.10.010
,,,,10.1093/sleep/zsae097
,,,,10.1093/brain/114.3.1157
,,,,10.1371/journal.pone.0129486
,,,,10.1002/ejp.1615
,,,,10.1109/IEMBS.2011.6090190
,,,,10.1089/acm.2009.0691
,,,,10.1007/s00221-019-05638-4
,,,,10.1089/acm.2006.6201
,,,,10.1016/j.bja.2020.05.050
,,,,10.1152/jn.00985.2004
,,,,10.1016/j.neuroimage.2014.06.026
,,,,10.1038/s41598-024-76059-9
,,,,10.1007/978-1-4614-1590-9_33
,,,,10.1080/17461391.2013.819384
,,,,10.1007/s00405-024-08641-w
,,,,10.1109/EMBC.2015.7319440
,,,,10.1152/jn.00678.2007
,,,,10.1055/s-2007-995115
